rank,row_id,display_name,version,country,developer,official_org,total_downloads_30d,total_downloads_all_time,momentum_score,momentum_rank,parameters,parameters_source_repo,repo_count,complete,delta_downloads_30d
1,mistral-7b-v0.3,Mistral 7B v0.3,0.3,FR,Mistral AI,mistralai,5247270,51801887,0.1011,11,7248023552,mistralai/Mistral-7B-Instruct-v0.3,2,True,-16650
2,mistral-7b-v0.2,Mistral 7B v0.2,0.2,FR,Mistral AI,mistralai,1308270,61718845,0.021163,44,7241732096,mistralai/Mistral-7B-Instruct-v0.2,1,True,8151
3,mixtral-8x7b-v0.1,Mixtral 8x7B v0.1,0.1,FR,Mistral AI,mistralai,943906,31707733,0.029675,35,46702792704,mistralai/Mixtral-8x7B-Instruct-v0.1,2,True,-37076
4,ministral-3-3b-2512,Ministral 3 3B (2512),2512,FR,Mistral AI,mistralai,847167,4767996,0.174028,5,4251743232,mistralai/Ministral-3-3B-Base-2512,7,True,-28402
5,mistral-7b-v0.1,Mistral 7B v0.1,0.1,FR,Mistral AI,mistralai,846376,44600776,0.018934,47,7241732096,mistralai/Mistral-7B-Instruct-v0.1,2,True,18189
6,bielik-11b-v3.0,Bielik-11B v3.0,3.0,PL,SpeakLeash / ACK Cyfronet AGH,speakleash,762757,3711278,0.200132,2,11339190972,speakleash/Bielik-11B-v3.0-Instruct-awq,8,True,-33696
7,mistral-nemo-2407,Mistral NeMo (2407),2407,FR,Mistral AI,mistralai,506071,15327434,0.032803,33,12247782400,mistralai/Mistral-Nemo-Base-2407,3,True,-7231
8,ministral-8b-2410,Ministral 8B Instruct (2410),2410,FR,Mistral AI,mistralai,390562,8074914,0.047776,27,8019808256,mistralai/Ministral-8B-Instruct-2410,1,True,6315
9,apertus-8b-2509,Apertus 8B (2509),2509,CH,swiss-ai,swiss-ai,374387,3074531,0.117935,10,8053338176,swiss-ai/Apertus-8B-2509,2,True,957
10,mistral-small-3.2-2506,"Mistral Small 3.2 (24B, 2506)",3.2,FR,Mistral AI,mistralai,312688,5048002,0.06074,22,24011361280,mistralai/Mistral-Small-3.2-24B-Instruct-2506,1,True,-920
11,mistral-small-3.1-2503,"Mistral Small 3.1 (24B, 2503)",3.1,FR,Mistral AI,mistralai,295659,4063756,0.071008,19,24011361280,mistralai/Mistral-Small-3.1-24B-Base-2503,2,True,767
12,ministral-3-14b-2512,Ministral 3 14B (2512),2512,FR,Mistral AI,mistralai,264922,2775370,0.092135,13,13945032240,mistralai/Ministral-3-14B-Instruct-2512,6,True,6274
13,devstral-small-2-2512,"Devstral Small 2 (24B, 2512)",2512,FR,Mistral AI,mistralai,235322,2294568,0.098273,12,24011361840,mistralai/Devstral-Small-2-24B-Instruct-2512,1,True,-2720
14,mistral-small-4-2603,"Mistral Small 4 (119B, 2603)",2603,FR,Mistral AI,mistralai,194565,551352,0.298709,1,119401317952,mistralai/Mistral-Small-4-119B-2603,3,True,-207
15,ministral-3-8b-2512,Ministral 3 8B (2512),2512,FR,Mistral AI,mistralai,165202,1713980,0.091072,14,8918026716,mistralai/Ministral-3-8B-Instruct-2512,6,True,-5640
16,devstral-small-2507,Devstral Small (2507),2507,FR,Mistral AI,mistralai,119842,545657,0.185612,4,23572403200,mistralai/Devstral-Small-2507,2,True,316
17,mistral-medium-3.5-128b,Mistral Medium 3.5 (128B),3.5,FR,Mistral AI,mistralai,114943,872648,0.118175,9,127704211408,mistralai/Mistral-Medium-3.5-128B,2,True,-7247
18,bielik-11b-v2.3,Bielik-11B v2.3,2.3,PL,SpeakLeash / ACK Cyfronet AGH,speakleash,104624,746873,0.123542,8,11253994172,speakleash/Bielik-11B-v2.3-Instruct-W4A16,10,True,-202
19,mixtral-8x22b-v0.1,Mixtral 8x22B v0.1,0.1,FR,Mistral AI,mistralai,87193,11114522,0.007775,81,140630071296,mistralai/Mixtral-8x22B-Instruct-v0.1,2,True,-759
20,mistral-small-24b-2501,Mistral Small 24B (2501),2501,FR,Mistral AI,mistralai,78241,7455856,0.010355,69,23572403200,mistralai/Mistral-Small-24B-Base-2501,2,True,-684
21,devstral-2-2512,"Devstral 2 (123B, 2512)",2512,FR,Mistral AI,mistralai,53822,319195,0.128394,7,125025989840,mistralai/Devstral-2-123B-Instruct-2512,1,True,-2187
22,magistral-small-2506,Magistral Small (2506),2506,FR,Mistral AI,mistralai,44370,573213,0.065908,21,23572403200,mistralai/Magistral-Small-2506,2,True,3326
23,bielik-minitron-7b-v3.0,Bielik-Minitron 7B v3.0,3.0,PL,SpeakLeash / ACK Cyfronet AGH,speakleash,40946,120097,0.186036,3,7479201792,speakleash/Bielik-Minitron-7B-v3.0-Instruct-FP8-Dynamic,5,True,-17
24,eurollm-9b-instruct,EuroLLM-9B-Instruct,,EU,utter-project,utter-project,39770,446217,0.07281,18,9152319488,utter-project/EuroLLM-9B-Instruct,1,True,331
25,salamandra-7b-instruct,Salamandra 7B Instruct,,ES,BSC-LT,BSC-LT,39603,620898,0.054936,23,7769280512,BSC-LT/salamandra-7b-instruct-fp8,8,True,170
26,apertus-70b-2509,Apertus 70B (2509),2509,CH,swiss-ai,swiss-ai,39498,402840,0.07855,16,70599864480,swiss-ai/Apertus-70B-2509,2,True,185
27,codestral-22b-v0.1,Codestral 22B v0.1,0.1,FR,Mistral AI,mistralai,35579,5120806,0.006815,85,22247282688,mistralai/Codestral-22B-v0.1,1,True,1009
28,magistral-small-2509,Magistral Small (2509),2509,FR,Mistral AI,mistralai,35183,302465,0.087419,15,24011361280,mistralai/Magistral-Small-2509,2,True,172
29,eurollm-9b-instruct-2512,EuroLLM-9B-Instruct (2512),2512,EU,utter-project,utter-project,27197,88040,0.144634,6,9152319488,utter-project/EuroLLM-9B-Instruct-2512,1,True,-3446
30,mistral-large-instruct-2411,Mistral Large Instruct (2411),2411,FR,Mistral AI,mistralai,12294,4908521,0.002455,115,122610069504,mistralai/Mistral-Large-Instruct-2411,1,True,1
31,mathstral-7b-v0.1,Mathstral 7B v0.1,0.1,FR,Mistral AI,mistralai,11306,5272502,0.002104,120,7248023552,mistralai/Mathstral-7B-v0.1,1,True,159
32,mistral-large-3-2512,"Mistral Large 3 (675B, 2512)",2512,FR,Mistral AI,mistralai,10778,47028,0.073306,17,,,5,True,141
33,eurollm-1.7b-instruct,EuroLLM-1.7B-Instruct,,EU,utter-project,utter-project,9792,661036,0.012867,62,1656850432,utter-project/EuroLLM-1.7B-Instruct,1,True,2
34,bielik-7b-v0.1,Bielik-7B v0.1,0.1,PL,SpeakLeash,speakleash,9426,487857,0.016035,55,7243108352,speakleash/Bielik-7B-Instruct-v0.1-GPTQ,8,True,158
35,eurollm-22b-instruct-2512,EuroLLM-22B-Instruct (2512),2512,EU,utter-project,utter-project,8161,193008,0.027852,37,22637328384,utter-project/EuroLLM-22B-Instruct-2512,1,True,17
36,mamaylm-gemma3-12b-v2,MamayLM Gemma 3 12B v2.0,2.0,UA,INSAIT,INSAIT-Institute,7787,14249,0.068158,20,12187325040,INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v2.0,2,True,-27
37,eurollm-1.7b-base,EuroLLM-1.7B (base),,EU,utter-project,utter-project,7704,185824,0.026954,39,,,1,True,85
38,pleias-3b-preview,Pleias 3B Preview,preview,FR,PleIAs,PleIAs,7500,53464,0.048871,26,3211926528,PleIAs/Pleias-3b-Preview,1,True,6
39,pleias-1.2b-preview,Pleias 1.2B Preview,preview,FR,PleIAs,PleIAs,7383,57929,0.046749,28,1195468800,PleIAs/Pleias-1.2b-Preview,1,True,-4
40,pleias-350m-preview,Pleias 350M Preview,preview,FR,PleIAs,PleIAs,7362,59057,0.046285,29,353424384,PleIAs/Pleias-350m-Preview,1,True,2
41,gams3-12b,GaMS3 12B,,SI,"CJVT UL (Center za jezikovne vire in tehnologije, University of Ljubljana)",cjvt,6292,57068,0.040059,31,11766034176,cjvt/GaMS3-12B,4,True,75
42,llama-krikri-8b,Llama-Krikri 8B,,GR,ILSP,ilsp,6287,94190,0.032376,34,8420895380,ilsp/Llama-Krikri-8B-Instruct-bnb-4bit,5,True,-24
43,salamandra-2b,Salamandra 2B,,ES,BSC-LT,BSC-LT,5912,131312,0.025559,40,2253997056,BSC-LT/salamandra-2b-base-fp8,7,True,170
44,mistral-small-instruct-2409,Mistral Small Instruct (2409),2409,FR,Mistral AI,mistralai,5611,5368014,0.001026,134,22247282688,mistralai/Mistral-Small-Instruct-2409,1,True,-33
45,bggpt-gemma3-4b,BgGPT Gemma 3 4B,,BG,INSAIT,INSAIT-Institute,5502,12364,0.048966,25,4325147468,INSAIT-Institute/BgGPT-Gemma-3-4B-IT-GPTQ-W4A16,3,True,-38
46,apertus-v1.5-8b,Apertus v1.5 8B,1.5,CH,swiss-ai,swiss-ai,5448,5448,0.051665,24,8903547555,swiss-ai/Apertus-v1.5-8B,1,True,198
47,devstral-small-2505,Devstral Small (2505),2505,FR,Mistral AI,mistralai,5028,896208,0.005047,94,23572403200,mistralai/Devstral-Small-2505,2,True,-471
48,mistral-large-instruct-2407,Mistral Large Instruct (2407),2407,FR,Mistral AI,mistralai,5006,5021885,0.000977,137,122610069504,mistralai/Mistral-Large-Instruct-2407,1,True,-21
